matrix_key,source_section,orfogrammka_id,title,entry_type,parent_path,depth,source_url,status,executable,rule_ids,requires,eligible_now,reason
orthography_4_12,orthography,4.12,Прописные буквы после знаков препинания,leaf_rule,"[""Правила употребления прописных и строчных букв""]",2,https://orfogrammka.ru/орфография/прописные_буквы_после_знаков_препинания/,candidate_only,true,"[""capitalization_sentence_start""]","[""model""]",true,eligible_but_needs_more_training
orthography_group_pravila_napisaniya_abbreviatur_i_graficheskih_sokrascheniy,orthography,,Правила написания аббревиатур и графических сокращений,group,[],1,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_group_pravila_napisaniya_abbreviatur_i_graficheskih_sokrascheniy_abbreviatury_i_proizvodnye_ot_nih_slova,orthography,,Аббревиатуры и производные от них слова,group,"[""Правила написания аббревиатур и графических сокращений""]",2,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_5_1_1,orthography,5.1.1,Аббревиатуры инициального типа,leaf_rule,"[""Правила написания аббревиатур и графических сокращений"", ""Аббревиатуры и производные от них слова""]",3,https://orfogrammka.ru/орфография/аббревиатуры_инициального_типа/,candidate_only,true,"[""abbreviation_case_protection""]","[""dictionary"", ""model""]",true,eligible_but_needs_more_training
orthography_group_pravila_napisaniya_abbreviatur_i_graficheskih_sokrascheniy_graficheskie_sokrascheniya,orthography,,Графические сокращения,group,"[""Правила написания аббревиатур и графических сокращений""]",2,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_group_pravila_napisaniya_abbreviatur_i_graficheskih_sokrascheniy_graficheskie_sokrascheniya_tochka_posle_sokrascheniy,orthography,,Точка после сокращений,group,"[""Правила написания аббревиатур и графических сокращений"", ""Графические сокращения""]",3,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_5_2_1_1,orthography,5.2.1.1,Общеупотребительные сокращения,leaf_rule,"[""Правила написания аббревиатур и графических сокращений"", ""Графические сокращения"", ""Точка после сокращений""]",4,https://orfogrammka.ru/орфография/общеупотребительные_сокращения/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_5_2_1_2,orthography,5.2.1.2,Самостоятельно употребляемые сокращения,leaf_rule,"[""Правила написания аббревиатур и графических сокращений"", ""Графические сокращения"", ""Точка после сокращений""]",4,https://orfogrammka.ru/орфография/самостоятельно_употребляемые_сокращения/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_5_2_1_3,orthography,5.2.1.3,"Сокращение к идущим подряд нескольким числам, названиям, именам",leaf_rule,"[""Правила написания аббревиатур и графических сокращений"", ""Графические сокращения"", ""Точка после сокращений""]",4,https://orfogrammka.ru/орфография/сокращения_к_идущим_подряд_нескольким_числам_названиям_именам/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_group_pravopisanie_inostrannyh_slov,orthography,,Правописание иностранных слов,group,[],1,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
