pass_index,rule_id,threshold_key,current_threshold,candidate_threshold,exact_match,dirty_improved_rate,dirty_worse_rate,clean_overcorrection_rate,edit_precision,edit_recall,edit_f1,spelling_precision,spelling_recall,spelling_f1,punctuation_precision,punctuation_recall,punctuation_f1,clean_exact_match,clean_dirty_improved_rate,clean_dirty_worse_rate,clean_clean_overcorrection_rate,clean_edit_precision,clean_edit_recall,clean_edit_f1,clean_spelling_precision,clean_spelling_recall,clean_spelling_f1,clean_punctuation_precision,clean_punctuation_recall,clean_punctuation_f1,synthetic_exact_match,synthetic_dirty_improved_rate,synthetic_dirty_worse_rate,synthetic_clean_overcorrection_rate,synthetic_edit_precision,synthetic_edit_recall,synthetic_edit_f1,synthetic_spelling_precision,synthetic_spelling_recall,synthetic_spelling_f1,synthetic_punctuation_precision,synthetic_punctuation_recall,synthetic_punctuation_f1,real_exact_match,real_dirty_improved_rate,real_dirty_worse_rate,real_clean_overcorrection_rate,real_edit_precision,real_edit_recall,real_edit_f1,real_spelling_precision,real_spelling_recall,real_spelling_f1,real_punctuation_precision,real_punctuation_recall,real_punctuation_f1,clean_false_positives,synthetic_true_positives,real_true_positives,passes_safety_caps
1,subject_predicate_dash,subject_predicate_dash_threshold,0.99,0.99,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,subject_predicate_dash,subject_predicate_dash_threshold,0.99,0.992,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,subject_predicate_dash,subject_predicate_dash_threshold,0.99,0.994,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,subject_predicate_dash,subject_predicate_dash_threshold,0.99,0.996,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,direct_speech_colon,direct_speech_colon_threshold,0.995,0.9,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,direct_speech_colon,direct_speech_colon_threshold,0.995,0.91,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,direct_speech_colon,direct_speech_colon_threshold,0.995,0.92,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,direct_speech_colon,direct_speech_colon_threshold,0.995,0.94,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,direct_speech_colon,direct_speech_colon_threshold,0.995,0.995,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,0,0,False
1,hyphen_particles,hyphen_particles_threshold,0.5,0.5,0.235,0.17906683480453972,0.7187894073139974,0.004830917874396135,0.20555555555555555,0.16761041902604756,0.1846537741734248,1.0,0.2474747474747475,0.3967611336032389,0.0,0.0,0.0,0.9951690821256038,0.0,0.0,0.004830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.18181818181818182,0.7389610389610389,0.0,0.2041958041958042,0.17548076923076922,0.18875242404654166,1.0,0.25259515570934254,0.4033149171270718,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.6666666666666666,0.0392156862745098,0.07407407407407407,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0,8,1,False
