rule_id,activation_stage,atomic_positive_count,hard_negative_count,candidate_recall,min_atomic_required,preferred_atomic,min_hard_required,corpus_mined_positive_count,syntax_mined_positive_count,morphology_mined_positive_count,real_pattern_replay_positive_count,rule_lab_positive_count,rule_lab_share,main_blocker,top_rejection_reason,recommended_next_action
keyboard_typo_candidate,validator_dependent,297,0,1.0,500,1500,200,0,0,0,297,0,0.0,duplicate_pair,duplicate_pair,inspect_rule_data_compiler_rejections
missing_hard_sign,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
missing_letter_candidate,validator_dependent,653,0,1.0,500,1500,200,0,0,0,653,0,0.0,hard_negative_count_under_min,duplicate_pair,add_hard_negative_miner_or_templates
n_nn_adjective,threshold_calibration,23,0,1.0,500,1500,200,0,0,23,0,0,0.0,candidate_missing,candidate_missing,fix_candidate_generator_or_rule_mapping
n_nn_deverbal_adjective,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
n_nn_participle,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
n_nn_short_form,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
ne_adjective,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
ne_adverb,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
ne_participle,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
ne_predicative,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
ne_short_form,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
ne_verb,threshold_calibration,19,0,1.0,500,1500,200,0,0,0,19,0,0.0,duplicate_pair,duplicate_pair,inspect_rule_data_compiler_rejections
ni_particle_context,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
ni_stable_expression,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
pattern_жо_же,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
pattern_жы_жи,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
pattern_цы_ци,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
pattern_чо_че,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
pattern_чю_чу,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
pattern_чя_ча,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
pattern_шо_ше,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
pattern_шы_ши,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
pattern_що_ще,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
pattern_щю_щу,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
pattern_щя_ща,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
pol_polu_compounds,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
prefix_pre_pri,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
prefix_s_to_z,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
prefix_z_to_s,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
punctuation_delete_replace,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
quote_pair_balance,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,target_quality_failed,target_quality_failed,fix_template_or_context_quality
sdelat_prefix,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
semicolon,needs_training,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
soft_to_hard_sign,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
subject_predicate_dash,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,non_atomic_edit_count,non_atomic_edit_count,fix_operator_or_miner_to_generate_atomic_edits
swapped_letters_candidate,validator_dependent,23,0,1.0,500,1500,200,0,0,0,23,0,0.0,duplicate_pair,duplicate_pair,inspect_rule_data_compiler_rejections
tsya_soft_delete,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,candidate_missing,candidate_missing,fix_candidate_generator_or_rule_mapping
tsya_soft_insert,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,strict_validator_rejected,strict_validator_rejected,fix_strict_validator_support
