rule_id,tier,quota_min,quota_preferred,actual_total,underfilled,reason
address_comma,syntax_supported,1500,2500,3250,False,
apposition_comma,syntax_supported,1500,2500,3250,False,
asyndetic_dash,syntax_supported,1500,2500,3228,False,
bracket_pair_balance,syntax_supported,1500,2500,3123,False,
capitalization_sentence_start,legacy_stable,1000,3000,3750,False,
clarification_comma,syntax_supported,1500,2500,3250,False,
comma_conjunction,syntax_supported,1500,2500,3250,False,
comma_subordinate,syntax_supported,1500,2500,3250,False,
comparative_turnover_comma,syntax_supported,1500,2500,3250,False,
context_tak_zhe,syntax_supported,1500,2500,3250,False,
detached_adverbial_comma,syntax_supported,1500,2500,3250,False,
detached_participial_comma,syntax_supported,1500,2500,3250,False,
direct_speech_quotes,syntax_supported,1500,2500,3250,False,
final_punctuation_default,legacy_stable,1000,3000,3750,False,
frequent_error_exact,legacy_stable,1000,3000,1865,False,
homogeneous_comma,syntax_supported,1500,2500,3250,False,
introductory_comma,syntax_supported,1500,2500,3250,False,
missing_hard_sign,legacy_stable,1000,2500,3250,False,
n_nn_adjective,syntax_supported,1500,2500,3250,False,
n_nn_participle,syntax_supported,1500,2500,3250,False,
n_nn_short_form,syntax_supported,1500,2500,3250,False,
ne_adjective,syntax_supported,1500,2500,3250,False,
ne_adverb,syntax_supported,1500,2500,3105,False,
ne_verb,syntax_supported,1500,2500,3250,False,
pattern_жо_же,legacy_stable,1000,2500,3250,False,
pattern_жы_жи,legacy_stable,1000,2500,3250,False,
pattern_цы_ци,legacy_stable,1000,2500,3250,False,
pattern_чо_че,legacy_stable,1000,2500,3250,False,
pattern_чя_ча,legacy_stable,1000,2500,3250,False,
pattern_шо_ше,legacy_stable,1000,2500,3250,False,
pattern_шы_ши,legacy_stable,1000,2500,3250,False,
pattern_що_ще,legacy_stable,1000,2500,3250,False,
pattern_щя_ща,legacy_stable,1000,2500,3250,False,
prefix_pre_pri,legacy_stable,1000,2500,3250,False,
prefix_s_to_z,legacy_stable,1000,2500,3250,False,
prefix_z_to_s,legacy_stable,1000,2500,3250,False,
punctuation_delete_replace,syntax_supported,1500,2500,3250,False,
quote_pair_balance,syntax_supported,1500,2500,3250,False,
soft_to_hard_sign,legacy_stable,1000,2500,3250,False,
tsya_soft_delete,syntax_supported,1500,2500,3250,False,
tsya_soft_insert,syntax_supported,1500,2500,3250,False,
