rule_id,activation_stage,production_ready,atomic_positive_count,hard_negative_count,candidate_recall,gold_count,ready_for_full_build,main_blocker,top_rejection_reason,recommended_next_action,corpus_mined_positive_count,syntax_mined_positive_count,morphology_mined_positive_count,real_pattern_replay_positive_count,rule_lab_positive_count,corpus_mined_share,rule_lab_share,corpus_mined_hard_negative_count,rule_lab_hard_negative_count,unique_source_count,unique_target_count,unique_left_context_count,unique_right_context_count,unique_sentence_pattern_count,dominant_template_share,dominant_source_type_share,near_duplicate_count,structural_diversity_status,structural_diversity_reason
keyboard_typo_candidate,validator_dependent,False,2,0,1.0,2,False,duplicate_pair,duplicate_pair,inspect_rule_data_compiler_rejections,0,0,0,2,0,0.0,0.0,0,0,2,2,2,2,2,0.5,1.0,0,warning,"low_unique_sentence_patterns,low_unique_left_contexts,low_unique_right_contexts"
missing_hard_sign,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
missing_letter_candidate,validator_dependent,False,1,0,1.0,1,False,duplicate_pair,duplicate_pair,inspect_rule_data_compiler_rejections,0,0,0,1,0,0.0,0.0,0,0,1,1,1,1,1,1.0,1.0,0,warning,"low_unique_sentence_patterns,low_unique_left_contexts,low_unique_right_contexts"
n_nn_adjective,threshold_calibration,False,0,0,0.0,0,False,candidate_missing,candidate_missing,fix_candidate_generator_or_rule_mapping,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
n_nn_deverbal_adjective,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
n_nn_participle,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
n_nn_short_form,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
ne_adjective,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
ne_adverb,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
ne_participle,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
ne_predicative,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
ne_short_form,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
